City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
215,El Cobre,CU,72.84,few clouds,20.0489,-75.9469,Hotel El Cobre
222,Mahebourg,MU,74.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
223,Kavaratti,IN,79.93,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
231,Mocuba,MZ,70.83,overcast clouds,-16.8392,36.9856,Phama Lodge
237,Sibu,MY,80.91,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
239,Presidencia Roque Saenz Pena,AR,74.34,clear sky,-26.7852,-60.4388,Hotel Gualok
240,Maraba,BR,72.46,overcast clouds,-5.3686,-49.1178,Hotel Del Principe
244,Lamu,KE,79.02,broken clouds,-2.2717,40.902,Lamu House
248,Afua,BR,74.98,overcast clouds,-0.1567,-50.3867,Hotel Dias
251,Kambia,SL,71.01,clear sky,9.1167,-12.9167,Kambia Africana Village Hotel
252,Vanimo,PG,84.87,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
254,Sinnamary,GF,76.12,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
255,Paddaya,PH,79.29,scattered clouds,18.3184,121.7551,Villa Chriskadoma
259,Bengkulu,ID,77.07,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
261,Port Blair,IN,82.44,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
263,Muisne,EC,76.41,overcast clouds,0.6,-80.0333,Quinta Samay
269,Ambilobe,MG,73.87,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
274,Takapau,NZ,87.73,few clouds,-40.0333,176.35,
279,Gisborne,NZ,85.95,scattered clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
280,Camocim,BR,77.05,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
289,Ballina,AU,84.38,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
291,Pedasi,PA,74.07,scattered clouds,7.5333,-80.0333,Selina Pedasi
296,Mana,GF,76.64,few clouds,5.6592,-53.7767,LE SAMANA
301,Ugoofaaru,MV,80.49,broken clouds,5.6667,73.0,Ungoofaaru Inn
302,Isangel,VU,78.06,moderate rain,-19.55,169.2667,Tanna Lodge
308,Naranjal,EC,78.78,overcast clouds,-2.6667,-79.6167,Media Naranja
311,Reo,BF,73.89,clear sky,12.3167,-2.4667,Hôtel Deogratias
314,Villa Bruzual,VE,80.73,overcast clouds,9.3328,-69.1208,hotel italia
315,Souillac,MU,74.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
317,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
318,Aquiraz,BR,82.49,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
327,Katherine,AU,89.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
329,Praia,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
330,Piacabucu,BR,78.58,broken clouds,-10.4056,-36.4344,Piaçabuçu News
332,Sao Filipe,CV,76.96,overcast clouds,14.8961,-24.4956,Hotel Xaguate
337,Sri Aman,MY,80.65,few clouds,1.2376,111.4621,Seri Simanggang Hotel
344,Fare,PF,81.27,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
345,Sola,VU,82.06,overcast clouds,-13.8833,167.55,Leumerus Bungalows
346,Port-Gentil,GA,81.14,overcast clouds,-0.7193,8.7815,Fengshui Residence
347,Buluang,PH,83.39,overcast clouds,13.3068,123.3425,Enon Beach Resort
357,Te Anau,NZ,74.35,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
359,Micomeseng,GQ,70.16,overcast clouds,2.1462,10.6164,
364,Acapulco,MX,78.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
371,Benguela,AO,76.68,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
376,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
377,Pio Xii,BR,73.29,overcast clouds,-3.8325,-45.1525,BACURI DOS QUARESMAS
381,Providencia,MX,73.45,broken clouds,28.7167,-111.5833,
382,Carpinteria,US,75.0,scattered clouds,34.3989,-119.5185,"Holiday Inn Express & Suites Carpinteria, an IHG Hotel"
383,Rameswaram,IN,78.84,broken clouds,9.2833,79.3,Daiwik Hotels Rameswaram
390,Wanaka,NZ,80.11,clear sky,-44.7,169.15,Wanaka Homestead Lodge and Cottages
391,Lazaro Cardenas,MX,73.44,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
392,Francistown,BW,73.81,broken clouds,-21.17,27.5079,Budget House
396,Tsaratanana,MG,73.04,overcast clouds,-16.7833,47.65,
